,INSIGHT : CUSTOMER PROMOTION DATASET BASED ON LAST PURCHASE,,,,,,,,,,,,,,,,,
13374,2,34,422.80,211.40,0.06,0.1,453.89,B,544.44,0,21-10-2010 10:04,SET OF 20 VINTAGE CHRISTMAS NAPKINS,50,B,High,0,UPSWING_UPSELL,Bundle offer on premium related item
13377,2,249,1552.88,776.44,0.01,0.1,227.63,C,718.83,1,08-11-2010 12:20,CARRIAGE,32,C,Medium,1,MID_SAVE,Limited 10% coupon + loyalty enrollment
13381,6,358,4585.06,764.18,0.02,0.1,467.47,B,917.01,0.99,25-11-2010 13:30,BLUE DINER WALL CLOCK,15,B,High,1,HIGH_VALUE_SAVE,Personalized 15% retention voucher
13382,4,302,1164.59,291.15,0.01,0.1,140.75,D,27.33,1,07-10-2010 09:28,FINE WICKER HEART ,64,D,Low,1,WINBACK,Reactivate: 20% comeback code
13384,4,110,2528.90,632.23,0.04,0.1,839.13,A,941.88,1,14-11-2010 13:13,MAGIC DRAWING SLATE BAKE A CAKE ,26,A,Top,1,VIP_LOYALTY,Early access + exclusive bundle
13386,2,22,835.46,417.73,0.09,0.1,1386.10,A,1242.53,0,21-10-2010 12:52,BLUE STRIPE CERAMIC DRAWER KNOB,50,A,Top,0,VIP_LOYALTY,Early access + exclusive bundle
13393,4,148,1131.45,282.86,0.03,0.1,279.04,C,232.38,1,05-05-2010 09:34,DOOR MAT FANCY FONT HOME SWEET HOME,219,C,Medium,1,MID_SAVE,Limited 10% coupon + loyalty enrollment
13394,11,359,4101.68,372.88,0.03,0.1,417.02,B,396.40,1,25-11-2010 18:08,COFFEE MUG BLUE PAISLEY DESIGN,15,B,High,1,HIGH_VALUE_SAVE,Personalized 15% retention voucher
13395,2,21,872.51,436.26,0.10,0.1,1516.51,A,1322.40,0,04-11-2010 14:00,72 SWEETHEART FAIRY CAKE CASES,36,A,Top,0,VIP_LOYALTY,Early access + exclusive bundle
13397,5,251,1647.74,329.55,0.02,0.1,239.61,C,192.28,1,28-09-2010 13:10,ALARM CLOCK BAKELIKE IVORY,73,C,Medium,1,MID_SAVE,Limited 10% coupon + loyalty enrollment
13399,3,54,275.40,91.80,0.06,0.1,186.15,C,301.37,0,01-09-2010 13:59,JUMBO BAG STRAWBERRY,100,C,Medium,0,CROSS_SELL,Add complementary product recommendation
13402,3,192,913.90,304.63,0.02,0.1,173.74,C,116.47,1,02-12-2010 17:12,PARTY INVITES JAZZ HEARTS,8,C,Medium,1,MID_SAVE,Limited 10% coupon + loyalty enrollment
13403,2,335,154.50,77.25,0.01,0.1,16.83,D,-394.64,1,17-11-2010 11:38,ROSES REGENCY TEACUP AND SAUCER ,23,D,Low,1,WINBACK,Reactivate: 20% comeback code
13405,3,242,641.36,213.79,0.01,0.1,96.73,D,-84.58,1,15-08-2010 13:28,HOME SWEET HOME METAL SIGN ,117,D,Low,1,WINBACK,Reactivate: 20% comeback code
13406,2,204,568.92,284.46,0.01,0.1,101.79,D,11.38,1,08-10-2010 14:44,SMALL RED RETROSPOT MUG IN BOX ,63,D,Low,1,WINBACK,Reactivate: 20% comeback code
13407,3,83,2244.70,748.23,0.04,0.1,987.13,A,1106.45,0.03,10-05-2010 12:41,"WALL MIRROR , DIAMANTE OVAL SHAPE",214,A,Top,0,VIP_LOYALTY,Early access + exclusive bundle
13408,46,364,23616.42,513.40,0.13,0.1,2368.13,A,2471.24,1,03-12-2010 09:39,JUMBO BAG SCANDINAVIAN PAISLEY,7,A,Top,1,VIP_LOYALTY,Early access + exclusive bundle
13410,4,338,1198.90,299.73,0.01,0.1,129.47,D,12.05,1,11-11-2010 16:45,VINTAGE SNAP CARDS,29,D,Low,1,WINBACK,Reactivate: 20% comeback code
13413,6,47,429.44,71.57,0.13,0.1,333.50,B,1075.98,0.02,10-03-2010 12:17,CORONA MEXICAN TRAY,275,B,High,0,UPSWING_UPSELL,Bundle offer on premium related item
13414,3,139,1103.64,367.88,0.02,0.1,289.80,C,307.06,1,02-09-2010 16:55,EDWARDIAN PARASOL NATURAL,99,C,Medium,1,MID_SAVE,Limited 10% coupon + loyalty enrollment
13415,4,255,800.67,200.17,0.02,0.1,114.61,D,-79.16,1,24-08-2010 11:38,MOROCCAN TEA GLASS,108,D,Low,1,WINBACK,Reactivate: 20% comeback code
13417,4,121,1028.66,257.17,0.03,0.1,310.30,B,270.72,1,10-06-2010 10:05,RAIN PONCHO WITH RED SPOTS,183,B,High,1,HIGH_VALUE_SAVE,Personalized 15% retention voucher
13418,15,355,6106.17,407.08,0.04,0.1,627.82,A,649.54,1,02-12-2010 10:46,3 TRADITIONAl BISCUIT CUTTERS  SET,8,A,Top,1,VIP_LOYALTY,Early access + exclusive bundle
13421,6,257,2252.04,375.34,0.02,0.1,319.84,B,317.95,1,29-10-2010 17:17,12 MESSAGE CARDS WITH ENVELOPES,42,B,High,1,HIGH_VALUE_SAVE,Personalized 15% retention voucher
13425,2,70,1779.42,889.71,0.03,0.1,927.84,A,1198.47,0.01,19-07-2010 12:56,PINK VINTAGE PAISLEY PICNIC BAG,144,A,Top,0,VIP_LOYALTY,Early access + exclusive bundle
13426,12,347,4526.06,377.17,0.03,0.1,476.08,B,464.04,1,22-11-2010 11:22,CHOCOLATE HOT WATER BOTTLE,18,B,High,1,HIGH_VALUE_SAVE,Personalized 15% retention voucher
13427,3,244,423.93,141.31,0.01,0.1,63.42,D,-202.02,1,19-08-2010 11:45,WOODEN FRAME ANTIQUE WHITE ,113,D,Low,1,WINBACK,Reactivate: 20% comeback code
13431,6,253,2047.14,341.19,0.02,0.1,295.34,B,261.11,1,29-10-2010 14:09,POLKA DOT PEN,42,B,High,1,HIGH_VALUE_SAVE,Personalized 15% retention voucher
13432,2,40,439.10,219.55,0.05,0.1,400.68,B,449.71,0,17-05-2010 13:18,CHILDS GARDEN SPADE PINK,207,B,High,0,UPSWING_UPSELL,Bundle offer on premium related item
13433,4,195,658.32,164.58,0.02,0.1,123.22,D,-59.91,1,26-07-2010 16:55,POTTING SHED TEA MUG,137,D,Low,1,WINBACK,Reactivate: 20% comeback code
13434,3,270,1132.62,377.54,0.01,0.1,153.11,D,151.12,1,19-11-2010 15:09,PLEASE ONE PERSON METAL SIGN,21,D,Low,1,WINBACK,Reactivate: 20% comeback code
13435,2,123,665.34,332.67,0.02,0.1,197.44,C,190.06,1,28-11-2010 13:51,BLACK AND WHITE CAT BOWL,12,C,Medium,1,MID_SAVE,Limited 10% coupon + loyalty enrollment
13439,2,138,702.90,351.45,0.01,0.1,185.91,C,192.11,1,16-11-2010 15:24,METAL TUBE CHIME ON BAMBOO,24,C,Medium,1,MID_SAVE,Limited 10% coupon + loyalty enrollment
13440,7,28,1295.25,185.04,0.25,0.1,1688.45,A,2737.12,0,12-10-2010 13:11,BAKING SET 9 PIECE RETROSPOT ,59,A,Top,0,VIP_LOYALTY,Early access + exclusive bundle
13442,3,70,419.87,139.96,0.04,0.1,218.93,C,221.41,0,10-02-2010 14:03,DOOR MAT UNION FLAG,303,C,Medium,0,CROSS_SELL,Add complementary product recommendation
13443,6,228,1280.16,213.36,0.03,0.1,204.94,C,66.41,1,17-09-2010 12:31,LUNCH BOX I LOVE LONDON,84,C,Medium,1,MID_SAVE,Limited 10% coupon + loyalty enrollment
13444,2,131,631.68,315.84,0.02,0.1,176.00,C,149.92,1,30-11-2010 13:02,RIBBON REEL SNOWY VILLAGE,10,C,Medium,1,MID_SAVE,Limited 10% coupon + loyalty enrollment
13446,11,233,3881.89,352.90,0.05,0.1,608.11,A,593.77,1,05-10-2010 18:51,MINI CAKE STAND  HANGING STRAWBERY,66,A,Top,1,VIP_LOYALTY,Early access + exclusive bundle
13448,9,359,5701.50,633.50,0.03,0.1,579.68,A,858.12,1,01-12-2010 10:53,HOMEMADE JAM SCENTED CANDLES,9,A,Top,1,VIP_LOYALTY,Early access + exclusive bundle
13450,7,228,2076.32,296.62,0.03,0.1,332.39,B,271.74,1,30-11-2010 13:20,TRADITIONAL MODELLING CLAY,10,B,High,1,HIGH_VALUE_SAVE,Personalized 15% retention voucher
13451,6,246,4214.77,702.46,0.02,0.1,625.36,A,934.53,1,23-11-2010 14:50,DO NOT TOUCH MY STUFF DOOR HANGER ,17,A,Top,1,VIP_LOYALTY,Early access + exclusive bundle
13455,5,364,1847.59,369.52,0.01,0.1,185.27,C,148.49,1,08-12-2010 13:11,PLASTERS IN TIN VINTAGE PAISLEY ,2,C,Medium,1,MID_SAVE,Limited 10% coupon + loyalty enrollment
13457,2,48,148.22,74.11,0.04,0.1,112.71,D,127.64,0,20-01-2010 08:48,BATHROOM METAL SIGN,324,D,Low,0,LIGHT_NURTURE,Low-cost email drip series
13458,2,9,2312.70,1156.35,0.22,0.1,9379.28,A,3926.46,0,25-11-2010 15:02,DOORMAT NEW ENGLAND,15,A,Top,0,VIP_LOYALTY,Early access + exclusive bundle
13459,2,57,1160.41,580.20,0.04,0.1,743.07,A,812.16,0,25-03-2010 10:24,HANGING HEART ZINC T-LIGHT HOLDER,260,A,Top,0,VIP_LOYALTY,Early access + exclusive bundle
13461,3,190,2715.00,905.00,0.02,0.1,521.57,B,1076.03,1,28-10-2010 17:53,WHITE BELL HONEYCOMB PAPER ,43,B,High,1,HIGH_VALUE_SAVE,Personalized 15% retention voucher
13462,4,315,1002.35,250.59,0.01,0.1,116.15,D,-51.72,1,25-10-2010 10:00,60 CAKE CASES VINTAGE CHRISTMAS,46,D,Low,1,WINBACK,Reactivate: 20% comeback code
13464,5,223,2422.96,484.59,0.02,0.1,396.58,B,504.06,1,10-11-2010 12:24,MA CAMPAGNE CUTLERY BOX,30,B,High,1,HIGH_VALUE_SAVE,Personalized 15% retention voucher
13465,2,139,931.12,465.56,0.01,0.1,244.50,C,363.22,1,19-09-2010 15:13,BLACK EAR MUFF HEADPHONES,82,C,Medium,1,MID_SAVE,Limited 10% coupon + loyalty enrollment
13466,4,219,705.45,176.36,0.02,0.1,117.58,D,-75.49,1,27-10-2010 12:50,ALARM CLOCK BAKELIKE ORANGE,44,D,Low,1,WINBACK,Reactivate: 20% comeback code
13468,38,368,7685.54,202.25,0.10,0.1,762.29,A,681.35,1,06-12-2010 13:34,HANGING METAL STAR LANTERN,4,A,Top,1,VIP_LOYALTY,Early access + exclusive bundle
13472,2,91,592.24,296.12,0.02,0.1,237.55,C,214.17,0.97,02-09-2010 09:41,HEART IVORY TRELLIS SMALL,99,C,Medium,1,MID_SAVE,Limited 10% coupon + loyalty enrollment
13473,6,149,2235.12,372.52,0.04,0.1,547.53,B,552.59,1,14-05-2010 10:47,TEA TIME PARTY BUNTING,210,B,High,1,HIGH_VALUE_SAVE,Personalized 15% retention voucher
13474,2,51,434.20,217.10,0.04,0.1,310.75,B,313.84,0,22-09-2010 09:21,LARGE CAKE TOWEL PINK SPOTS,79,B,High,0,UPSWING_UPSELL,Bundle offer on premium related item
13476,3,237,823.00,274.33,0.01,0.1,126.75,D,16.82,1,29-10-2010 08:24,REGENCY CAKESTAND 3 TIER,42,D,Low,1,WINBACK,Reactivate: 20% comeback code
13477,5,227,1379.59,275.92,0.02,0.1,221.83,C,131.80,1,10-09-2010 09:08,10 COLOUR SPACEBOY PEN,91,C,Medium,1,MID_SAVE,Limited 10% coupon + loyalty enrollment
13478,5,207,2215.78,443.16,0.02,0.1,390.71,B,457.68,1,27-08-2010 13:23,JUMBO BAG PINK WITH WHITE SPOTS,105,B,High,1,HIGH_VALUE_SAVE,Personalized 15% retention voucher
13479,2,24,550.42,275.21,0.08,0.1,837.10,A,936.03,0,13-09-2010 13:29,PLACE SETTING WHITE STAR,88,A,Top,0,VIP_LOYALTY,Early access + exclusive bundle
13480,2,262,627.82,313.91,0.01,0.1,87.46,D,9.41,1,19-10-2010 11:53,PURPLE DRAWERKNOB ACRYLIC EDWARDIAN,52,D,Low,1,WINBACK,Reactivate: 20% comeback code
13481,6,360,2026.28,337.71,0.02,0.1,205.44,C,132.67,1,30-11-2010 10:32,DOORMAT WELCOME TO OUR HOME,10,C,Medium,1,MID_SAVE,Limited 10% coupon + loyalty enrollment
13484,2,256,476.92,238.46,0.01,0.1,68.00,D,-100.51,1,21-11-2010 13:48,RETROSPOT TEA SET CERAMIC 11 PC ,19,D,Low,1,WINBACK,Reactivate: 20% comeback code
13485,10,359,2564.98,256.50,0.03,0.1,260.78,C,105.78,1,28-11-2010 11:04,RED  HARMONICA IN BOX ,12,C,Medium,1,MID_SAVE,Limited 10% coupon + loyalty enrollment
13487,2,229,271.47,135.74,0.01,0.1,43.27,D,-235.38,1,22-07-2010 10:41,DOORMAT FAIRY CAKE,141,D,Low,1,WINBACK,Reactivate: 20% comeback code
13488,11,316,6619.57,601.78,0.03,0.1,764.60,A,973.32,1,07-12-2010 13:01,COFFEE MUG BLUE PAISLEY DESIGN,3,A,Top,1,VIP_LOYALTY,Early access + exclusive bundle
13491,18,360,3350.74,186.15,0.05,0.1,339.73,B,149.32,1,02-12-2010 14:30,PINK FAIRY CAKE CHILDRENS APRON,8,B,High,1,HIGH_VALUE_SAVE,Personalized 15% retention voucher
13495,6,364,3329.39,554.90,0.02,0.1,333.85,B,527.57,1,06-12-2010 15:14,SET OF 6 3D KIT CARDS FOR KIDS,4,B,High,1,HIGH_VALUE_SAVE,Personalized 15% retention voucher
13497,5,301,972.28,194.46,0.02,0.1,117.90,D,-101.97,1,06-12-2010 11:37,WOODEN HEART CHRISTMAS SCANDINAVIAN,4,D,Low,1,WINBACK,Reactivate: 20% comeback code
13501,2,83,1544.79,772.40,0.02,0.1,679.34,A,963.05,0,10-08-2010 13:01,DOORMAT HEARTS,122,A,Top,0,VIP_LOYALTY,Early access + exclusive bundle
13502,2,132,488.50,244.25,0.02,0.1,135.08,D,39.84,1,20-10-2010 10:15,RECIPE BOX RETROSPOT ,51,D,Low,1,WINBACK,Reactivate: 20% comeback code
13503,5,181,1688.54,337.71,0.03,0.1,340.51,B,323.22,1,17-08-2010 13:17,BOX OF VINTAGE JIGSAW BLOCKS ,115,B,High,1,HIGH_VALUE_SAVE,Personalized 15% retention voucher
13506,4,90,1180.68,295.17,0.04,0.1,478.83,B,480.82,0.19,05-12-2010 12:15,4 TRADITIONAL SPINNING TOPS,5,B,High,0,UPSWING_UPSELL,Bundle offer on premium related item
13510,7,343,2766.73,395.25,0.02,0.1,294.42,B,297.14,1,29-11-2010 12:26,PINK FAIRY CAKE CHILDRENS APRON,11,B,High,1,HIGH_VALUE_SAVE,Personalized 15% retention voucher
13512,3,196,462.18,154.06,0.02,0.1,86.07,D,-128.74,1,17-11-2010 14:55,VICTORIAN GLASS HANGING T-LIGHT,23,D,Low,1,WINBACK,Reactivate: 20% comeback code
13513,2,213,619.49,309.75,0.01,0.1,106.16,D,41.51,1,24-09-2010 16:25,GREY FLORAL FELTCRAFT SHOULDER BAG,77,D,Low,1,WINBACK,Reactivate: 20% comeback code
13514,3,253,663.70,221.23,0.01,0.1,95.75,D,-83.05,1,07-10-2010 12:10,HANGING HEART JAR T-LIGHT HOLDER,64,D,Low,1,WINBACK,Reactivate: 20% comeback code
13515,2,195,374.70,187.35,0.01,0.1,70.14,D,-127.00,1,16-09-2010 15:07,60 TEATIME FAIRY CAKE CASES,85,D,Low,1,WINBACK,Reactivate: 20% comeback code
13520,6,350,3285.05,547.51,0.02,0.1,342.58,B,526.86,1,03-12-2010 10:36,ROUND SNACK BOXES SET OF4 WOODLAND ,7,B,High,1,HIGH_VALUE_SAVE,Personalized 15% retention voucher
13523,2,35,1136.64,568.32,0.06,0.1,1185.35,A,1064.29,0,08-12-2010 14:22,200 RED + WHITE BENDY STRAWS,2,A,Top,0,VIP_LOYALTY,Early access + exclusive bundle
13527,5,269,2396.23,479.25,0.02,0.1,325.14,B,432.65,1,17-10-2010 12:52,LIGHT BIRD HOUSE TREE DECORATION,54,B,High,1,HIGH_VALUE_SAVE,Personalized 15% retention voucher
13531,5,369,1254.72,250.94,0.01,0.1,124.11,D,-63.56,1,08-12-2010 15:03,JUMBO BAG SPACEBOY DESIGN,2,D,Low,1,WINBACK,Reactivate: 20% comeback code
13534,10,141,1850.82,185.08,0.07,0.1,479.11,B,541.80,1,25-11-2010 15:54,PINK CREAM FELT CRAFT TRINKET BOX ,15,B,High,1,HIGH_VALUE_SAVE,Personalized 15% retention voucher
13537,2,26,717.85,358.93,0.08,0.1,1007.75,A,985.79,0,10-10-2010 12:45,STRAWBERRY CERAMIC TRINKET BOX,61,A,Top,0,VIP_LOYALTY,Early access + exclusive bundle
13538,5,279,1831.88,366.38,0.02,0.1,239.65,C,223.11,1,08-11-2010 14:19,ANGEL DECORATION WITH LACE PADDED,32,C,Medium,1,MID_SAVE,Limited 10% coupon + loyalty enrollment
13539,4,169,938.02,234.51,0.02,0.1,202.59,C,103.98,1,15-10-2010 09:15,EUCALYPTUS & PINECONE  WREATH,56,C,Medium,1,MID_SAVE,Limited 10% coupon + loyalty enrollment
13540,3,188,632.39,210.80,0.02,0.1,122.78,D,-27.71,1,29-08-2010 14:20,WOODEN FRAME ANTIQUE WHITE ,103,D,Low,1,WINBACK,Reactivate: 20% comeback code
13541,2,143,785.25,392.63,0.01,0.1,200.43,C,246.61,1,08-10-2010 16:37,BAKING SET 9 PIECE RETROSPOT ,63,C,Medium,1,MID_SAVE,Limited 10% coupon + loyalty enrollment
13542,17,352,4006.17,235.66,0.05,0.1,415.41,B,274.97,1,28-11-2010 11:24,DOORMAT HEARTS,12,B,High,1,HIGH_VALUE_SAVE,Personalized 15% retention voucher
13543,2,52,1439.61,719.81,0.04,0.1,1010.50,A,1065.35,0,15-03-2010 13:34,SKULL DESIGN TV DINNER TRAY,270,A,Top,0,VIP_LOYALTY,Early access + exclusive bundle
13544,4,232,537.59,134.40,0.02,0.1,84.58,D,-162.56,1,24-10-2010 11:25,PLASTERS IN TIN SPACEBOY,47,D,Low,1,WINBACK,Reactivate: 20% comeback code
13545,2,153,374.64,187.32,0.01,0.1,89.37,D,-78.55,1,14-11-2010 11:27,RIBBON REEL CHRISTMAS SOCK BAUBLE,26,D,Low,1,WINBACK,Reactivate: 20% comeback code
13546,2,42,465.15,232.58,0.05,0.1,404.24,B,440.40,0,22-11-2010 17:33,3 TRADITIONAl BISCUIT CUTTERS  SET,18,B,High,0,UPSWING_UPSELL,Bundle offer on premium related item
13552,10,229,3238.85,323.89,0.04,0.1,516.24,B,485.58,1,07-10-2010 12:30,LADIES & GENTLEMEN METAL SIGN,64,B,High,1,HIGH_VALUE_SAVE,Personalized 15% retention voucher
13554,7,66,1638.28,234.04,0.11,0.1,906.02,A,1105.85,0,24-11-2010 15:05,CERAMIC STRAWBERRY TRINKET TRAY,16,A,Top,0,VIP_LOYALTY,Early access + exclusive bundle
13555,9,310,4849.91,538.88,0.03,0.1,571.04,A,726.32,1,26-11-2010 11:50,COSY SLIPPER SHOES LARGE GREEN,14,A,Top,1,VIP_LOYALTY,Early access + exclusive bundle
13556,2,6,200.82,100.41,0.33,0.1,1221.66,A,3650.58,0,06-10-2010 16:44,BLACK RECORD COVER FRAME,65,A,Top,0,VIP_LOYALTY,Early access + exclusive bundle
13557,11,315,2448.20,222.56,0.03,0.1,283.68,C,126.81,1,20-10-2010 14:06,3 WICK CHRISTMAS BRIAR CANDLE ,51,C,Medium,1,MID_SAVE,Limited 10% coupon + loyalty enrollment
13559,2,30,990.00,495.00,0.07,0.1,1204.50,A,1068.35,0,15-07-2010 09:52,COLOUR GLASS. STAR T-LIGHT HOLDER,148,A,Top,0,VIP_LOYALTY,Early access + exclusive bundle
13561,10,252,1678.86,167.89,0.04,0.1,243.17,C,93.59,1,07-11-2010 14:28,12 PENCILS TALL TUBE RED RETROSPOT,33,C,Medium,1,MID_SAVE,Limited 10% coupon + loyalty enrollment
13562,5,292,3038.85,607.77,0.02,0.1,379.86,B,632.52,1,03-11-2010 10:43,EDWARDIAN PARASOL RED,37,B,High,1,HIGH_VALUE_SAVE,Personalized 15% retention voucher
13564,35,369,15500.53,442.87,0.09,0.1,1533.25,A,1604.75,1,06-12-2010 17:26,HOT WATER BOTTLE TEA AND SYMPATHY,4,A,Top,1,VIP_LOYALTY,Early access + exclusive bundle
13566,3,205,833.41,277.80,0.01,0.1,148.39,D,57.28,1,01-10-2010 12:27,SET/4 SKULL BADGES,70,D,Low,1,WINBACK,Reactivate: 20% comeback code
13567,4,113,1083.69,270.92,0.04,0.1,350.04,B,324.44,1,07-10-2010 12:51,AIRLINE BAG VINTAGE JET SET RED,64,B,High,1,HIGH_VALUE_SAVE,Personalized 15% retention voucher
13569,3,60,520.03,173.34,0.05,0.1,316.35,B,363.14,0,07-12-2010 12:29,BLACK KITCHEN SCALES,3,B,High,0,UPSWING_UPSELL,Bundle offer on premium related item
13571,14,349,2454.22,175.30,0.04,0.1,256.67,C,42.69,1,22-11-2010 13:09,CHARLOTTE BAG SUKI DESIGN,18,C,Medium,1,MID_SAVE,Limited 10% coupon + loyalty enrollment
13573,4,257,622.07,155.52,0.02,0.1,88.35,D,-156.08,1,25-11-2010 15:01,REX CASH+CARRY JUMBO SHOPPER,15,D,Low,1,WINBACK,Reactivate: 20% comeback code
13576,11,358,4834.40,439.49,0.03,0.1,492.89,B,546.76,1,01-12-2010 17:24,BATH BUILDING BLOCK WORD,9,B,High,1,HIGH_VALUE_SAVE,Personalized 15% retention voucher
13577,7,342,1801.68,257.38,0.02,0.1,192.28,C,34.16,1,22-11-2010 08:11,15CM CHRISTMAS GLASS BALL 20 LIGHTS,18,C,Medium,1,MID_SAVE,Limited 10% coupon + loyalty enrollment
13579,4,290,1072.00,268.00,0.01,0.1,134.92,D,-0.62,1,05-12-2010 16:10,TOOL BOX SOFT TOY ,5,D,Low,1,WINBACK,Reactivate: 20% comeback code
13582,2,227,241.68,120.84,0.01,0.1,38.86,D,-256.29,1,15-11-2010 11:34,CHOCOLATE THIS WAY METAL SIGN,25,D,Low,1,WINBACK,Reactivate: 20% comeback code
13584,2,177,250.05,125.03,0.01,0.1,51.56,D,-202.49,1,29-07-2010 13:36,60 TEATIME FAIRY CAKE CASES,134,D,Low,1,WINBACK,Reactivate: 20% comeback code
13585,3,207,684.54,228.18,0.01,0.1,120.70,D,-24.21,1,27-06-2010 12:33,CAKE PLATE LOVEBIRD WHITE,166,D,Low,1,WINBACK,Reactivate: 20% comeback code
13587,3,214,961.10,320.37,0.01,0.1,163.93,C,114.58,1,16-09-2010 13:52,HEART OF WICKER LARGE,85,C,Medium,1,MID_SAVE,Limited 10% coupon + loyalty enrollment
13589,4,284,741.09,185.27,0.01,0.1,95.25,D,-133.51,1,16-09-2010 13:29,NATURAL SLATE HEART CHALKBOARD ,85,D,Low,1,WINBACK,Reactivate: 20% comeback code
13590,12,362,4367.67,363.97,0.03,0.1,440.39,B,411.05,1,29-11-2010 11:40,JUMBO STORAGE BAG SKULLS,11,B,High,1,HIGH_VALUE_SAVE,Personalized 15% retention voucher
13591,4,289,976.81,244.20,0.01,0.1,123.37,D,-39.53,1,30-09-2010 08:59,SILVER MUG BONE CHINA TREE OF LIFE,71,D,Low,1,WINBACK,Reactivate: 20% comeback code
13593,9,259,3486.61,387.40,0.03,0.1,491.36,B,498.06,1,17-11-2010 13:11,CREAM CUPID HEARTS COAT HANGER,23,B,High,1,HIGH_VALUE_SAVE,Personalized 15% retention voucher
13595,3,129,818.22,272.74,0.02,0.1,231.51,C,178.89,1,11-07-2010 12:36,CERAMIC LOVE HEARTS DESIGN MUG,152,C,Medium,1,MID_SAVE,Limited 10% coupon + loyalty enrollment
13597,2,2,396.71,198.36,1.00,0.1,7239.96,A,11727.38,0,04-11-2010 14:54,SKULL SHOULDER BAG,36,A,Top,0,VIP_LOYALTY,Early access + exclusive bundle
13598,4,156,609.42,152.36,0.03,0.1,142.59,D,-5.46,1,01-08-2010 13:21,CITRONELLA CANDLE FLOWERPOT,131,D,Low,1,WINBACK,Reactivate: 20% comeback code
13599,14,371,5013.96,358.14,0.04,0.1,493.29,B,459.57,1,08-12-2010 10:13,DOLLY GIRL CHILDRENS EGG CUP,2,B,High,1,HIGH_VALUE_SAVE,Personalized 15% retention voucher
13601,2,154,491.82,245.91,0.01,0.1,116.57,D,8.75,1,12-11-2010 15:20,SET/4 BADGES CUTE CREATURES,28,D,Low,1,WINBACK,Reactivate: 20% comeback code
13602,3,179,596.28,198.76,0.02,0.1,121.59,D,-34.14,1,23-11-2010 12:14,HAND WARMER UNION JACK,17,D,Low,1,WINBACK,Reactivate: 20% comeback code
13605,2,184,522.67,261.34,0.01,0.1,103.68,D,-3.80,1,17-11-2010 17:16,HAND WARMER BIRD DESIGN,23,D,Low,1,WINBACK,Reactivate: 20% comeback code
13610,7,316,1044.00,149.14,0.02,0.1,120.59,D,-143.83,1,17-11-2010 15:31,DOORMAT UNION FLAG,23,D,Low,1,WINBACK,Reactivate: 20% comeback code
13611,7,362,2147.73,306.82,0.02,0.1,216.55,C,108.25,1,30-11-2010 16:26,HAND WARMER SCOTTY DOG DESIGN,10,C,Medium,1,MID_SAVE,Limited 10% coupon + loyalty enrollment
13613,5,207,1039.85,207.97,0.02,0.1,183.36,C,45.04,1,13-09-2010 12:01,ENAMEL MEASURING JUG CREAM,88,C,Medium,1,MID_SAVE,Limited 10% coupon + loyalty enrollment
13614,2,157,748.73,374.37,0.01,0.1,174.07,C,199.15,1,11-11-2010 12:20,METAL MERRY CHRISTMAS WREATH,29,C,Medium,1,MID_SAVE,Limited 10% coupon + loyalty enrollment
13615,7,280,5854.84,836.41,0.03,0.1,763.22,A,1219.19,1,05-11-2010 13:42,DOG BOWL CHASING BALL DESIGN,35,A,Top,1,VIP_LOYALTY,Early access + exclusive bundle
13616,2,122,288.10,144.05,0.02,0.1,86.19,D,-93.47,1,20-05-2010 12:59,BLUE TRAVEL FIRST AID KIT,204,D,Low,1,WINBACK,Reactivate: 20% comeback code
13617,5,86,734.57,146.91,0.06,0.1,311.77,B,385.26,0.05,27-10-2010 14:00,HEART SHAPED MIRROR,44,B,High,0,UPSWING_UPSELL,Bundle offer on premium related item
13619,2,129,231.69,115.85,0.02,0.1,65.56,D,-149.23,1,13-06-2010 11:39,WOODEN ROUNDERS GARDEN SET ,180,D,Low,1,WINBACK,Reactivate: 20% comeback code
13623,5,356,1818.71,363.74,0.01,0.1,186.47,C,144.88,1,24-11-2010 13:36,PACK OF 12 SPACEBOY TISSUES,16,C,Medium,1,MID_SAVE,Limited 10% coupon + loyalty enrollment
13627,2,152,607.43,303.72,0.01,0.1,145.86,D,98.99,1,08-08-2010 14:32,ZINC METAL HEART DECORATION,124,D,Low,1,WINBACK,Reactivate: 20% comeback code
13629,8,252,5578.50,697.31,0.03,0.1,808.00,A,1075.62,1,22-10-2010 09:48,PEG BAG APPLES DESIGN,49,A,Top,1,VIP_LOYALTY,Early access + exclusive bundle
13632,3,217,1526.88,508.96,0.01,0.1,256.83,C,411.79,1,10-11-2010 12:03,DOORMAT RED RETROSPOT,30,C,Medium,1,MID_SAVE,Limited 10% coupon + loyalty enrollment
13634,11,323,3498.31,318.03,0.03,0.1,395.32,B,327.19,1,30-11-2010 11:57,Discount,10,B,High,1,HIGH_VALUE_SAVE,Personalized 15% retention voucher
13635,3,296,1928.13,642.71,0.01,0.1,237.76,C,552.86,1,23-09-2010 10:06,FELTCRAFT PRINCESS CHARLOTTE DOLL,78,C,Medium,1,MID_SAVE,Limited 10% coupon + loyalty enrollment
13641,5,93,1016.47,203.29,0.05,0.1,398.94,B,429.65,1,09-03-2010 07:37,EDWARDIAN TOILET ROLL UNIT ,276,B,High,1,HIGH_VALUE_SAVE,Personalized 15% retention voucher
